industry_code	naics_code	industry_text	display_level	selectable	sort_sequence
N48799_	48799	Scenic and sightseeing transportation, other	4	T	515
N4879__	4879	Scenic and sightseeing transportation, other	3	T	514
N487___	487	Scenic and sightseeing transportation	2	T	507
N4881__	4881	Support activities for air transportation	3	T	518
N488210	488210	Support activities for rail transportation	5	T	521
N48821_	48821	Support activities for rail transportation	4	T	520
N4882__	4882	Support activities for rail transportation	3	T	519
N4883__	4883	Support activities for water transportation	3	T	522
N4884__	4884	Support activities for road transportation	3	T	523
N488510	488510	Freight transportation arrangement	5	T	526
N48851_	48851	Freight transportation arrangement	4	T	525
N4885__	4885	Freight transportation arrangement	3	T	524
N48899_	48899	Other support activities for transportation	4	T	528
N4889__	4889	Other support activities for transportation	3	T	527
N488___	488	Support activities for transportation	2	T	517
N491110	491110	Postal service	5	T	532
N49111_	49111	Postal service	4	T	531
N4911__	4911	Postal service	3	T	530
N491___	491	Postal service	2	T	529
N492110	492110	Couriers and express delivery services	5	T	536
N49211_	49211	Couriers and express delivery services	4	T	535
N4921__	4921	Couriers and express delivery services	3	T	534
N492210	492210	Local messengers and local delivery	5	T	539
N49221_	49221	Local messengers and local delivery	4	T	538
N4922__	4922	Local messengers and local delivery	3	T	537
N492___	492	Couriers and messengers	2	T	533
N493110	493110	General warehousing and storage	5	T	543
N49311_	49311	General warehousing and storage	4	T	542
N493120	493120	Refrigerated warehousing and storage	5	T	545
N49312_	49312	Refrigerated warehousing and storage	4	T	544
N4931__	4931	Warehousing and storage	3	T	541
N493___	493	Warehousing and storage	2	T	540
N511110	511110	Newspaper publishers	5	T	550
N51111_	51111	Newspaper publishers	4	T	549
N511120	511120	Periodical publishers	5	T	552
N51112_	51112	Periodical publishers	4	T	551
N511130	511130	Book publishers	5	T	554
N51113_	51113	Book publishers	4	T	553
N5111__	5111	Newspaper, periodical, book, and directory publishers	3	T	548
N511210	511210	Software publishers	5	T	557
N51121_	51121	Software publishers	4	T	556
N5112__	5112	Software publishers	3	T	555
N511___	511	Publishing industries (except internet)	2	T	547
N51213_	51213	Motion picture and video exhibition	4	T	561
N5121__	5121	Motion picture and video industries	3	T	560
N5122__	5122	Sound recording industries	3	T	562
N512___	512	Motion picture and sound recording industries	2	T	559
N51511_	51511	Radio broadcasting	4	T	565
N5151__	5151	Radio and television broadcasting	3	T	564
N515210	515210	Cable and other subscription programming	5	T	568
N51521_	51521	Cable and other subscription programming	4	T	567
N5152__	5152	Cable and other subscription programming	3	T	566
N515___	515	Broadcasting (except internet)	2	T	563
N517311	517311	Wired Telecommunications Carriers	5	T	573
N517312	517312	Wireless Telecommunications Carriers (except Satellite)	5	T	574
N51731_	51731	Wired and Wireless Telecommunications Carriers	4	T	572
N5173__	5173	Wired and Wireless Telecommunications Carriers	3	T	571
N517410	517410	Satellite telecommunications	5	T	577
N51741_	51741	Satellite telecommunications	4	T	576
N5174__	5174	Satellite telecommunications	3	T	575
N51791_	51791	Other telecommunications	4	T	579
N5179__	5179	Other telecommunications	3	T	578
N517___	517	Telecommunications	2	T	570
N518210	518210	Data processing, hosting, and related services	5	T	583
N51821_	51821	Data processing, hosting, and related services	4	T	582
N5182__	5182	Data processing, hosting, and related services	3	T	581
N518___	518	Data processing, hosting, and related services	2	T	580
N5191__	5191	Other information services	3	T	585
N519___	519	Other information services	2	T	584
N521110	521110	Monetary authorities-central bank	5	T	590
N52111_	52111	Monetary authorities-central bank	4	T	589
N5211__	5211	Monetary authorities-central bank	3	T	588
N521___	521	Monetary authorities-central bank	2	T	587
N522110	522110	Commercial banking	5	T	594
N52211_	52211	Commercial banking	4	T	593
N5221__	5221	Depository credit intermediation	3	T	592
N5222__	5222	Nondepository credit intermediation	3	T	595
N5223__	5223	Activities related to credit intermediation	3	T	596
N522___	522	Credit intermediation and related activities	2	T	591
N5231__	5231	Securities and commodity contracts intermediation and brokerage	3	T	598
N523210	523210	Securities and commodity exchanges	5	T	601
N52321_	52321	Securities and commodity exchanges	4	T	600
N5232__	5232	Securities and commodity exchanges	3	T	599
N5239__	5239	Other financial investment activities	3	T	602
N523___	523	Securities, commodity contracts, investments	2	T	597
N5241__	5241	Insurance carriers	3	T	604
N5242__	5242	Insurance agencies, brokerages, and related services	3	T	605
N524___	524	Insurance carriers and related activities	2	T	603
N5251__	5251	Insurance and employee benefit funds	3	T	607
N5259__	5259	Other investment pools and funds	3	T	608
N525___	525	Funds, trusts, and other financial vehicles	2	T	606
N5311__	5311	Lessors of real estate	3	T	611
N531210	531210	Offices of real estate agents and brokers	5	T	614
N53121_	53121	Offices of real estate agents and brokers	4	T	613
N5312__	5312	Offices of real estate agents and brokers	3	T	612
N5313__	5313	Activities related to real estate	3	T	615
N531___	531	Real estate	2	T	610
N532111	532111	Passenger car rental	5	T	618
N532120	532120	Truck, utility trailer, and rv (recreational vehicle) rental and leasing	5	T	620
N53212_	53212	Truck, utility trailer, and rv (recreational vehicle) rental and leasing	4	T	619
N5321__	5321	Automotive equipment rental and leasing	3	T	617
N532282	532282	Video Tape and Disc Rental	5	T	622
N5322__	5322	Consumer goods rental	3	T	621
N532310	532310	General rental centers	5	T	625
N53231_	53231	General rental centers	4	T	624
N5323__	5323	General rental centers	3	T	623
N5324__	5324	Machinery and equipment rental and leasing	3	T	626
N532___	532	Rental and leasing services	2	T	616
N533110	533110	Lessors of nonfinancial intangible assets (except copyrighted works)	5	T	630
N53311_	53311	Lessors of nonfinancial intangible assets (except copyrighted works)	4	T	629
N5331__	5331	Lessors of nonfinancial intangible assets (except copyrighted works)	3	T	628
N533___	533	Lessors of nonfinancial intangible assets (except copyrighted works)	2	T	627
N5411__	5411	Legal services	3	T	634
N541211	541211	Offices of certified public accountants	5	T	637
N541213	541213	Tax preparation services	5	T	638
N541219	541219	Other accounting services	5	T	639
N54121_	54121	Accounting, tax preparation, bookkeeping, and payroll services	4	T	636
N5412__	5412	Accounting, tax preparation, bookkeeping, and payroll services	3	T	635
N541310	541310	Architectural services	5	T	642
N54131_	54131	Architectural services	4	T	641
N541330	541330	Engineering services	5	T	644
N54133_	54133	Engineering services	4	T	643
N5413__	5413	Architectural and engineering services	3	T	640
N5414__	5414	Specialized design services	3	T	645
N54151_	54151	Computer systems design and related services	4	T	647
N5415__	5415	Computer systems design and related services	3	T	646
N5416__	5416	Management and technical consulting services	3	T	648
N5417__	5417	Scientific research and development services	3	T	649
N541810	541810	Advertising agencies	5	T	652
N54181_	54181	Advertising agencies	4	T	651
N5418__	5418	Advertising and related services	3	T	650
N541921	541921	Photography studios, portrait	5	T	655
N541940	541940	Veterinary services	5	T	657
N54194_	54194	Veterinary services	4	T	656
N5419__	5419	Other professional and technical services	3	T	653
N541___	541	Professional, scientific, and technical services	2	T	633
N54____	54	Professional, scientific, and technical services	1	T	632
N55111_	55111	Management of companies and enterprises	4	T	662
N5511__	5511	Management of companies and enterprises	3	T	661
N551___	551	Management of companies and enterprises	2	T	660
N55____	55	Management of companies and enterprises	1	T	659
N561110	561110	Office administrative services	5	T	667
N56111_	56111	Office administrative services	4	T	666
N5611__	5611	Office administrative services	3	T	665
N561210	561210	Facilities support services	5	T	670
N56121_	56121	Facilities support services	4	T	669
N5612__	5612	Facilities support services	3	T	668
N56131_	56131	Employment placement agencies and executive search services	4	T	673
N5613__	5613	Employment services	3	T	672
N5614__	5614	Business support services	3	T	674
N561510	561510	Travel agencies	5	T	677
N56151_	56151	Travel agencies	4	T	676
N5615__	5615	Travel arrangement and reservation services	3	T	675
N5616__	5616	Investigation and security services	3	T	678
N561720	561720	Janitorial services	5	T	682
N56172_	56172	Janitorial services	4	T	681
N5617__	5617	Services to buildings and dwellings	3	T	680
N5619__	5619	Other support services	3	T	683
N561___	561	Administrative and support services	2	T	664
N56211_	56211	Waste collection	4	T	686
N5621__	5621	Waste collection	3	T	685
N56221_	56221	Waste treatment and disposal	4	T	688
N5622__	5622	Waste treatment and disposal	3	T	687
N5629__	5629	Remediation and other waste services	3	T	689
N562___	562	Waste management and remediation services	2	T	684
N611110	611110	Elementary and secondary schools	5	T	695
N61111_	61111	Elementary and secondary schools	4	T	694
N6111__	6111	Elementary and secondary schools	3	T	693
N611210	611210	Junior colleges	5	T	698
N61121_	61121	Junior colleges	4	T	697
N6112__	6112	Junior colleges	3	T	696
N611310	611310	Colleges, universities, and professional schools	5	T	701
N61131_	61131	Colleges, universities, and professional schools	4	T	700
N6113__	6113	Colleges, universities, and professional schools	3	T	699
N6114__	6114	Business, computer, and management training	3	T	702
N61151_	61151	Technical and trade schools	4	T	704
N6115__	6115	Technical and trade schools	3	T	703
N6116__	6116	Other schools and instruction	3	T	705
N611710	611710	Educational support services	5	T	708
N61171_	61171	Educational support services	4	T	707
N6117__	6117	Educational support services	3	T	706
N611___	611	Educational services	2	T	692
N61____	61	Educational services	1	T	691
N62111_	62111	Offices of physicians	4	T	712
N6211__	6211	Offices of physicians	3	T	711
N621210	621210	Offices of dentists	5	T	715
N62121_	62121	Offices of dentists	4	T	714
N6212__	6212	Offices of dentists	3	T	713
N6213__	6213	Offices of other health practitioners	3	T	716
N6214__	6214	Outpatient care centers	3	T	717
N621511	621511	Medical laboratories	5	T	720
N621512	621512	Diagnostic imaging centers	5	T	721
N62151_	62151	Medical and diagnostic laboratories	4	T	719
N6215__	6215	Medical and diagnostic laboratories	3	T	718
N621610	621610	Home health care services	5	T	724
N62161_	62161	Home health care services	4	T	723
N6216__	6216	Home health care services	3	T	722
N6219__	6219	Other ambulatory health care services	3	T	725
N621___	621	Ambulatory health care services	2	T	710
N622110	622110	General medical and surgical hospitals	5	T	729
N62211_	62211	General medical and surgical hospitals	4	T	728
N6221__	6221	General medical and surgical hospitals	3	T	727
N622210	622210	Psychiatric and substance abuse hospitals	5	T	732
N62221_	62221	Psychiatric and substance abuse hospitals	4	T	731
N6222__	6222	Psychiatric and substance abuse hospitals	3	T	730
N622310	622310	Specialty (except psychiatric and substance abuse) hospitals	5	T	735
N62231_	62231	Specialty (except psychiatric and substance abuse) hospitals	4	T	734
N6223__	6223	Specialty (except psychiatric and substance abuse) hospitals	3	T	733
N622A__	622A	Hospitals, except psychiatric and substance abuse hospitals	3	T	755
N622___	622	Hospitals	2	T	726
N623110	623110	Nursing care facilities	5	T	739
N62311_	62311	Nursing care facilities	4	T	738
N6231__	6231	Nursing care facilities	3	T	737
N6232__	6232	Residential mental health facilities	3	T	740
N62331_	62331	Community care facilities for the elderly	4	T	742
N6233__	6233	Community care facilities for the elderly	3	T	741
N623990	623990	Other residential care facilities	5	T	745
N62399_	62399	Other residential care facilities	4	T	744
N6239__	6239	Other residential care facilities	3	T	743
N623___	623	Nursing and residential care facilities	2	T	736
N6241__	6241	Individual and family services	3	T	747
N6242__	6242	Emergency and other relief services	3	T	748
N624310	624310	Vocational rehabilitation services	5	T	751
N62431_	62431	Vocational rehabilitation services	4	T	750
N6243__	6243	Vocational rehabilitation services	3	T	749
N624410	624410	Child day care services	5	T	754
N62441_	62441	Child day care services	4	T	753
N6244__	6244	Child day care services	3	T	752
N624___	624	Social assistance	2	T	746
N7111__	7111	Performing arts companies	3	T	758
N71121_	71121	Spectator sports	4	T	760
N7112__	7112	Spectator sports	3	T	759
N7113__	7113	Arts and sports promoters and agents and managers for public figures	3	T	761
N711410	711410	Agents and managers for artists, athletes, entertainers, and other public figures	5	T	764
N71141_	71141	Agents and managers for artists, athletes, entertainers, and other public figures	4	T	763
N7114__	7114	Agents and managers for artists, athletes, entertainers, and other public figures	3	T	762
N711510	711510	Independent artists, writers, and performers	5	T	767
N71151_	71151	Independent artists, writers, and performers	4	T	766
N7115__	7115	Independent artists, writers, and performers	3	T	765
N711___	711	Performing arts and spectator sports	2	T	757
N7121__	7121	Museums, historical sites, and similar institutions	3	T	769
N712___	712	Museums, historical sites, and similar institutions	2	T	768
N713110	713110	Amusement and theme parks	5	T	773
N71311_	71311	Amusement and theme parks	4	T	772
N7131__	7131	Amusement parks and arcades	3	T	771
N7132__	7132	Gambling industries	3	T	774
N713910	713910	Golf courses and country clubs	5	T	777
N71391_	71391	Golf courses and country clubs	4	T	776
N713940	713940	Fitness and recreational sports centers	5	T	779
N71394_	71394	Fitness and recreational sports centers	4	T	778
N713950	713950	Bowling centers	5	T	781
N71395_	71395	Bowling centers	4	T	780
N7139__	7139	Other amusement and recreation industries	3	T	775
N713___	713	Amusements, gambling, and recreation	2	T	770
N721110	721110	Hotels (except casino hotels) and motels	5	T	787
N72111_	72111	Hotels (except casino hotels) and motels	4	T	786
N7211__	7211	Traveler accommodation	3	T	785
N72121_	72121	RV (recreational vehicle) parks and recreational camps	4	T	789
N7212__	7212	RV (recreational vehicle) parks and recreational camps	3	T	788
N721310	721310	Rooming and boarding houses	5	T	792
N72131_	72131	Rooming and boarding houses	4	T	791
N7213__	7213	Rooming and boarding houses	3	T	790
N721___	721	Accommodation	2	T	784
N7223__	7223	Special food services	3	T	795
N722410	722410	Drinking places (alcoholic beverages)	5	T	798
N72241_	72241	Drinking places (alcoholic beverages)	4	T	797
N7224__	7224	Drinking places (alcoholic beverages)	3	T	796
N722511	722511	Full-service restaurants	5	T	794
N72251A	72251A	Limited-service eating places	5	T	801
N72251_	72251	Restaurants and other eating places	4	T	800
N7225__	7225	Restaurants and other eating places	3	T	799
N722___	722	Food services and drinking places	2	T	793
N72____	72	Accommodation and food services	1	T	783
N8111__	8111	Automotive repair and maintenance	3	T	804
N81121_	81121	Electronic and precision equipment repair and maintenance	4	T	806
N8112__	8112	Electronic and precision equipment repair and maintenance	3	T	805
N811310	811310	Commercial machinery repair and maintenance	5	T	809
N81131_	81131	Commercial machinery repair and maintenance	4	T	808
N8113__	8113	Commercial machinery repair and maintenance	3	T	807
N811420	811420	Reupholstery and furniture repair	5	T	812
N81142_	81142	Reupholstery and furniture repair	4	T	811
N8114__	8114	Household goods repair and maintenance	3	T	810
N811___	811	Repair and maintenance	2	T	803
N81211_	81211	Hair, nail, and skin care services	4	T	815
N8121__	8121	Personal care services	3	T	814
N812210	812210	Funeral homes and funeral services	5	T	819
N81221_	81221	Funeral homes and funeral services	4	T	818
N8122__	8122	Death care services	3	T	817
N812310	812310	Coin-operated laundries and drycleaners	5	T	822
N81231_	81231	Coin-operated laundries and drycleaners	4	T	821
N812320	812320	Drycleaning and laundry services (except coin-operated)	5	T	824
N81232_	81232	Drycleaning and laundry services (except coin-operated)	4	T	823
N81233_	81233	Linen and uniform supply	4	T	825
N8123__	8123	Drycleaning and laundry services	3	T	820
N81292_	81292	Photofinishing	4	T	828
N8129__	8129	Other personal services	3	T	827
N812___	812	Personal and laundry services	2	T	813
N813110	813110	Religious organizations	5	T	832
N81311_	81311	Religious organizations	4	T	831
N8131__	8131	Religious organizations	3	T	830
N81321_	81321	Grantmaking and giving services	4	T	834
N8132__	8132	Grantmaking and giving services	3	T	833
N81331_	81331	Social advocacy organizations	4	T	836
N8133__	8133	Social advocacy organizations	3	T	835
N813410	813410	Civic and social organizations	5	T	839
N81341_	81341	Civic and social organizations	4	T	838
N8134__	8134	Civic and social organizations	3	T	837
N8139__	8139	Professional and similar organizations	3	T	840
N813___	813	Membership associations and organizations	2	T	829
N814110	814110	Private households	5	T	844
N81411_	81411	Private households	4	T	843
N8141__	8141	Private households	3	T	842
N814___	814	Private households	2	T	841
N901___	901	Government (excluding postal service)	1	T	846
N______	-	Private Nonfarm	0	T	2
