O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
11-3031.02	1.B.2.f.3	Autonomy	EN	3.87	03/2002	Legacy Analyst
11-3040.00	1.B.2.a	Achievement-Mean Extent	EN	3.93	03/2002	Legacy Analyst
11-3040.00	1.B.2.a.1	Ability Utilization	EN	4.25	03/2002	Legacy Analyst
11-3040.00	1.B.2.a.2	Achievement	EN	3.62	03/2002	Legacy Analyst
11-3040.00	1.B.2.b	Working Conditions-Mean Extent	EN	3.64	03/2002	Legacy Analyst
11-3040.00	1.B.2.b.1	Activity	EN	4.00	03/2002	Legacy Analyst
11-3040.00	1.B.2.b.2	Independence	EN	2.50	03/2002	Legacy Analyst
11-3040.00	1.B.2.b.3	Variety	EN	3.62	03/2002	Legacy Analyst
11-3040.00	1.B.2.b.4	Compensation	EN	3.25	03/2002	Legacy Analyst
11-3040.00	1.B.2.b.5	Security	EN	4.00	03/2002	Legacy Analyst
11-3040.00	1.B.2.b.6	Working Conditions	EN	4.50	03/2002	Legacy Analyst
11-3040.00	1.B.2.c	Recognition-Mean Extent	EN	3.40	03/2002	Legacy Analyst
11-3040.00	1.B.2.c.1	Advancement	EN	3.00	03/2002	Legacy Analyst
11-3040.00	1.B.2.c.2	Recognition	EN	3.12	03/2002	Legacy Analyst
11-3040.00	1.B.2.c.3	Authority	EN	4.12	03/2002	Legacy Analyst
11-3040.00	1.B.2.c.4	Social Status	EN	3.37	03/2002	Legacy Analyst
11-3040.00	1.B.2.d	Relationships-Mean Extent	EN	3.41	03/2002	Legacy Analyst
11-3040.00	1.B.2.d.1	Co-workers	EN	3.25	03/2002	Legacy Analyst
11-3040.00	1.B.2.d.2	Social Service	EN	3.87	03/2002	Legacy Analyst
11-3040.00	1.B.2.d.3	Moral Values	EN	3.12	03/2002	Legacy Analyst
11-3040.00	1.B.2.e	Support-Mean Extent	EN	3.16	03/2002	Legacy Analyst
11-3040.00	1.B.2.e.1	Company Policies and Practices	EN	3.87	03/2002	Legacy Analyst
11-3040.00	1.B.2.e.2	Supervision, Human Relations	EN	3.25	03/2002	Legacy Analyst
11-3040.00	1.B.2.e.3	Supervision, Technical	EN	2.37	03/2002	Legacy Analyst
11-3040.00	1.B.2.f	Independence-Mean Extent	EN	3.87	03/2002	Legacy Analyst
11-3040.00	1.B.2.f.1	Creativity	EN	3.50	03/2002	Legacy Analyst
11-3040.00	1.B.2.f.2	Responsibility	EN	4.00	03/2002	Legacy Analyst
11-3040.00	1.B.2.f.3	Autonomy	EN	4.12	03/2002	Legacy Analyst
11-3041.00	1.B.2.a	Achievement-Mean Extent	EN	3.93	03/2002	Legacy Analyst
11-3041.00	1.B.2.a.1	Ability Utilization	EN	4.25	03/2002	Legacy Analyst
11-3041.00	1.B.2.a.2	Achievement	EN	3.62	03/2002	Legacy Analyst
11-3041.00	1.B.2.b	Working Conditions-Mean Extent	EN	3.64	03/2002	Legacy Analyst
11-3041.00	1.B.2.b.1	Activity	EN	4.00	03/2002	Legacy Analyst
11-3041.00	1.B.2.b.2	Independence	EN	2.50	03/2002	Legacy Analyst
11-3041.00	1.B.2.b.3	Variety	EN	3.62	03/2002	Legacy Analyst
11-3041.00	1.B.2.b.4	Compensation	EN	3.25	03/2002	Legacy Analyst
11-3041.00	1.B.2.b.5	Security	EN	4.00	03/2002	Legacy Analyst
11-3041.00	1.B.2.b.6	Working Conditions	EN	4.50	03/2002	Legacy Analyst
11-3041.00	1.B.2.c	Recognition-Mean Extent	EN	3.40	03/2002	Legacy Analyst
11-3041.00	1.B.2.c.1	Advancement	EN	3.00	03/2002	Legacy Analyst
11-3041.00	1.B.2.c.2	Recognition	EN	3.12	03/2002	Legacy Analyst
11-3041.00	1.B.2.c.3	Authority	EN	4.12	03/2002	Legacy Analyst
11-3041.00	1.B.2.c.4	Social Status	EN	3.37	03/2002	Legacy Analyst
11-3041.00	1.B.2.d	Relationships-Mean Extent	EN	3.41	03/2002	Legacy Analyst
11-3041.00	1.B.2.d.1	Co-workers	EN	3.25	03/2002	Legacy Analyst
11-3041.00	1.B.2.d.2	Social Service	EN	3.87	03/2002	Legacy Analyst
11-3041.00	1.B.2.d.3	Moral Values	EN	3.12	03/2002	Legacy Analyst
11-3041.00	1.B.2.e	Support-Mean Extent	EN	3.16	03/2002	Legacy Analyst
11-3041.00	1.B.2.e.1	Company Policies and Practices	EN	3.87	03/2002	Legacy Analyst
11-3041.00	1.B.2.e.2	Supervision, Human Relations	EN	3.25	03/2002	Legacy Analyst
11-3041.00	1.B.2.e.3	Supervision, Technical	EN	2.37	03/2002	Legacy Analyst
11-3041.00	1.B.2.f	Independence-Mean Extent	EN	3.87	03/2002	Legacy Analyst
11-3041.00	1.B.2.f.1	Creativity	EN	3.50	03/2002	Legacy Analyst
11-3041.00	1.B.2.f.2	Responsibility	EN	4.00	03/2002	Legacy Analyst
11-3041.00	1.B.2.f.3	Autonomy	EN	4.12	03/2002	Legacy Analyst
11-3042.00	1.B.2.a	Achievement-Mean Extent	EN	3.75	03/2002	Legacy Analyst
11-3042.00	1.B.2.a.1	Ability Utilization	EN	3.62	03/2002	Legacy Analyst
11-3042.00	1.B.2.a.2	Achievement	EN	3.87	03/2002	Legacy Analyst
11-3042.00	1.B.2.b	Working Conditions-Mean Extent	EN	3.27	03/2002	Legacy Analyst
11-3042.00	1.B.2.b.1	Activity	EN	3.62	03/2002	Legacy Analyst
11-3042.00	1.B.2.b.2	Independence	EN	2.25	03/2002	Legacy Analyst
11-3042.00	1.B.2.b.3	Variety	EN	3.37	03/2002	Legacy Analyst
11-3042.00	1.B.2.b.4	Compensation	EN	3.12	03/2002	Legacy Analyst
11-3042.00	1.B.2.b.5	Security	EN	3.25	03/2002	Legacy Analyst
11-3042.00	1.B.2.b.6	Working Conditions	EN	4.00	03/2002	Legacy Analyst
11-3042.00	1.B.2.c	Recognition-Mean Extent	EN	3.43	03/2002	Legacy Analyst
11-3042.00	1.B.2.c.1	Advancement	EN	3.12	03/2002	Legacy Analyst
11-3042.00	1.B.2.c.2	Recognition	EN	3.12	03/2002	Legacy Analyst
11-3042.00	1.B.2.c.3	Authority	EN	4.25	03/2002	Legacy Analyst
11-3042.00	1.B.2.c.4	Social Status	EN	3.25	03/2002	Legacy Analyst
11-3042.00	1.B.2.d	Relationships-Mean Extent	EN	3.70	03/2002	Legacy Analyst
11-3042.00	1.B.2.d.1	Co-workers	EN	3.87	03/2002	Legacy Analyst
11-3042.00	1.B.2.d.2	Social Service	EN	3.75	03/2002	Legacy Analyst
11-3042.00	1.B.2.d.3	Moral Values	EN	3.50	03/2002	Legacy Analyst
11-3042.00	1.B.2.e	Support-Mean Extent	EN	3.33	03/2002	Legacy Analyst
11-3042.00	1.B.2.e.1	Company Policies and Practices	EN	3.75	03/2002	Legacy Analyst
11-3042.00	1.B.2.e.2	Supervision, Human Relations	EN	3.75	03/2002	Legacy Analyst
11-3042.00	1.B.2.e.3	Supervision, Technical	EN	2.50	03/2002	Legacy Analyst
11-3042.00	1.B.2.f	Independence-Mean Extent	EN	3.50	03/2002	Legacy Analyst
11-3042.00	1.B.2.f.1	Creativity	EN	3.50	03/2002	Legacy Analyst
11-3042.00	1.B.2.f.2	Responsibility	EN	3.50	03/2002	Legacy Analyst
11-3042.00	1.B.2.f.3	Autonomy	EN	3.50	03/2002	Legacy Analyst
11-3051.00	1.B.2.a	Achievement-Mean Extent	EN	3.62	03/2002	Legacy Analyst
11-3051.00	1.B.2.a.1	Ability Utilization	EN	3.75	03/2002	Legacy Analyst
11-3051.00	1.B.2.a.2	Achievement	EN	3.50	03/2002	Legacy Analyst
11-3051.00	1.B.2.b	Working Conditions-Mean Extent	EN	3.54	03/2002	Legacy Analyst
11-3051.00	1.B.2.b.1	Activity	EN	4.12	03/2002	Legacy Analyst
11-3051.00	1.B.2.b.2	Independence	EN	2.62	03/2002	Legacy Analyst
11-3051.00	1.B.2.b.3	Variety	EN	3.62	03/2002	Legacy Analyst
11-3051.00	1.B.2.b.4	Compensation	EN	3.87	03/2002	Legacy Analyst
11-3051.00	1.B.2.b.5	Security	EN	3.75	03/2002	Legacy Analyst
11-3051.00	1.B.2.b.6	Working Conditions	EN	3.25	03/2002	Legacy Analyst
11-3051.00	1.B.2.c	Recognition-Mean Extent	EN	3.56	03/2002	Legacy Analyst
11-3051.00	1.B.2.c.1	Advancement	EN	3.00	03/2002	Legacy Analyst
11-3051.00	1.B.2.c.2	Recognition	EN	3.00	03/2002	Legacy Analyst
11-3051.00	1.B.2.c.3	Authority	EN	4.75	03/2002	Legacy Analyst
11-3051.00	1.B.2.c.4	Social Status	EN	3.50	03/2002	Legacy Analyst
